22
l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot1|q9_annot2|
1|156|4|1|17.00|1795.46|0.04|0.02|N|O|1996-03-13|1996-02-12|1996-03-22|DELIVER IN PERSON|TRUCK|egular courts above the|1724|0|0|1724|1724|17|
1|68|9|2|36.00|3485.02|0.09|0.06|N|O|1996-04-12|1996-02-28|1996-04-20|TAKE BACK RETURN|MAIL|ly final dependencies: slyly bold |3171|0|0|3171|3171|36|
1|64|5|3|8.00|771.25|0.10|0.02|N|O|1996-01-29|1996-03-05|1996-01-31|TAKE BACK RETURN|REG AIR|riously. regular, express dep|694|0|0|694|694|8|
1|3|6|4|28.00|2528.40|0.09|0.06|N|O|1996-04-21|1996-03-30|1996-05-16|NONE|AIR|lites. fluffily even de|2301|0|0|2301|2301|28|
1|25|8|5|24.00|2220.05|0.10|0.04|N|O|1996-03-30|1996-03-14|1996-04-01|NONE|FOB| pending foxes. slyly re|1998|0|0|1998|1998|24|
1|16|3|6|32.00|2931.23|0.07|0.02|N|O|1996-01-30|1996-02-07|1996-02-03|DELIVER IN PERSON|MAIL|arefully slyly ex|2726|0|0|2726|2726|32|
2|107|2|1|38.00|3826.98|0.00|0.05|N|O|1997-01-28|1997-01-14|1997-02-02|TAKE BACK RETURN|RAIL|ven requests. deposits breach a|3827|0|0|3827|3827|38|
3|5|2|1|45.00|4072.50|0.06|0.00|R|F|1994-02-02|1994-01-04|1994-02-23|NONE|AIR|ongside of the furiously brave acco|0|3828|0|3828|3828|45|
3|20|10|2|49.00|4508.10|0.10|0.00|R|F|1993-11-09|1993-12-20|1993-11-24|TAKE BACK RETURN|RAIL| unusual accounts. eve|0|4057|0|4057|4057|49|
3|129|8|3|27.00|2778.62|0.06|0.07|A|F|1994-01-16|1993-11-22|1994-01-23|DELIVER IN PERSON|SHIP|nal foxes wake. |0|0|0|2612|2612|27|
3|30|5|4|2.00|186.01|0.01|0.06|A|F|1993-12-04|1994-01-07|1994-01-01|NONE|TRUCK|y. fluffily pending d|0|0|0|184|184|2|
3|184|5|5|28.00|3035.70|0.04|0.00|R|F|1993-12-14|1994-01-10|1994-01-01|TAKE BACK RETURN|FOB|ages nag slyly pending|0|2914|0|2914|2914|28|
3|63|8|6|26.00|2503.96|0.10|0.02|A|F|1993-10-29|1993-12-18|1993-11-04|TAKE BACK RETURN|RAIL|ges sleep after the caref|0|0|0|2254|2254|26|
4|89|10|1|30.00|2967.24|0.03|0.08|N|O|1996-01-10|1995-12-14|1996-01-18|DELIVER IN PERSON|REG AIR|- quickly regular packages sleep. idly|2878|0|0|2878|2878|30|
5|109|10|1|15.00|1513.65|0.02|0.04|R|F|1994-10-31|1994-08-31|1994-11-20|NONE|AIR|ts wake furiously |0|1483|0|1483|1483|15|
5|124|5|2|26.00|2662.71|0.07|0.08|R|F|1994-10-16|1994-09-25|1994-10-19|NONE|FOB|sts use slyly quickly special instruc|0|2476|0|2476|2476|26|
5|38|4|3|50.00|4690.15|0.08|0.03|A|F|1994-08-08|1994-10-13|1994-08-26|DELIVER IN PERSON|AIR|eodolites. fluffily unusual|0|0|0|4315|4315|50|
6|140|6|1|37.00|3848.52|0.08|0.03|A|F|1992-04-27|1992-05-15|1992-05-02|TAKE BACK RETURN|TRUCK|p furiously special foxes|0|0|0|3541|3541|37|
7|183|4|1|12.00|1299.82|0.07|0.03|N|O|1996-05-07|1996-03-13|1996-06-03|TAKE BACK RETURN|FOB|ss pinto beans wake against th|1209|0|0|1209|1209|12|
7|146|3|2|9.00|941.53|0.08|0.08|N|O|1996-02-01|1996-03-02|1996-02-19|TAKE BACK RETURN|SHIP|es. instructions|866|0|0|866|866|9|
7|95|8|3|46.00|4577.41|0.10|0.07|N|O|1996-01-15|1996-03-27|1996-02-03|COLLECT COD|MAIL| unusual reques|4120|0|0|4120|4120|46|
7|164|5|4|28.00|2979.65|0.03|0.04|N|O|1996-03-21|1996-04-08|1996-04-20|NONE|FOB|. slyly special requests haggl|2890|0|0|2890|2890|28|
7|152|4|5|38.00|3998.17|0.08|0.01|N|O|1996-02-11|1996-02-24|1996-02-18|DELIVER IN PERSON|TRUCK|ns haggle carefully ironic deposits. bl|3678|0|0|3678|3678|38|
7|80|10|6|35.00|3430.28|0.06|0.03|N|O|1996-01-16|1996-02-23|1996-01-22|TAKE BACK RETURN|FOB|jole. excuses wake carefully alongside of |3224|0|0|3224|3224|35|
