11
o_orderkey|o_custkey|o_totalprice|o_orderdate|o_shippriority|o_year|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot|
1|1219|170793.64|1996-01-02|0|1996|0|0|1|1|1|
2|2575|56159.25|1996-12-01|0|1996|0|0|1|1|1|
3|4070|194769.36|1993-10-14|0|1993|1|1|1|0|1|
4|4514|56850.10|1995-10-11|0|1995|0|0|1|1|1|
5|1468|102710.96|1994-07-30|0|1994|1|0|1|0|1|
6|1837|53033.56|1992-02-21|0|1992|1|0|1|0|1|
7|1292|196970.64|1996-01-10|0|1996|0|0|1|1|1|
32|4292|182743.60|1995-07-16|0|1995|0|0|1|1|1|
33|2210|134910.78|1993-10-27|0|1993|1|1|1|0|1|
34|2014|74429.26|1998-07-21|0|1998|0|0|1|0|1|
35|4211|207068.33|1995-10-23|0|1995|0|0|1|1|1|
36|3805|70972.62|1995-11-03|0|1995|0|0|1|1|1|
37|2842|161419.45|1992-06-03|0|1992|1|0|1|0|1|
38|4120|73623.30|1996-08-21|0|1996|0|0|1|1|1|
39|2699|283994.46|1996-09-20|0|1996|0|0|1|1|1|
64|1060|35403.79|1994-07-16|0|1994|1|0|1|0|1|
65|538|98889.47|1995-03-18|0|1995|0|0|1|1|1|
66|4264|125729.60|1994-01-20|0|1994|1|0|1|0|1|
67|1870|191902.20|1996-12-19|0|1996|0|0|1|1|1|
68|943|296205.16|1998-04-18|0|1998|0|0|1|0|1|
69|2789|225317.81|1994-06-04|0|1994|1|0|1|0|1|
70|2125|115895.09|1993-12-18|0|1993|1|0|1|0|1|
71|112|207391.64|1998-01-24|0|1998|0|0|1|0|1|
96|3557|64405.06|1994-04-17|0|1994|1|0|1|0|1|
97|695|111897.60|1993-01-29|0|1993|1|0|1|0|1|
98|3448|69045.25|1994-09-25|0|1994|1|0|1|0|1|
99|2935|128036.50|1994-03-13|0|1994|1|0|1|0|1|
100|4852|207881.48|1998-02-28|0|1998|0|0|1|0|1|
101|925|143771.44|1996-03-17|0|1996|0|0|1|1|1|
102|25|153835.63|1997-05-09|0|1997|0|0|1|0|1|
103|961|163032.06|1996-06-20|0|1996|0|0|1|1|1|
128|2441|51573.07|1992-06-15|0|1992|1|0|1|0|1|
129|2348|219975.56|1992-11-19|0|1992|1|0|1|0|1|
130|1220|142229.26|1992-05-08|0|1992|1|0|1|0|1|
131|3061|133175.32|1994-06-08|0|1994|1|0|1|0|1|
132|871|205704.56|1993-06-11|0|1993|1|0|1|0|1|
133|1453|127930.99|1997-11-29|0|1997|0|0|1|0|1|
134|205|197102.56|1992-05-01|0|1992|1|0|1|0|1|
135|1996|227397.56|1995-10-21|0|1995|0|0|1|1|1|
160|2723|142343.67|1996-12-19|0|1996|0|0|1|1|1|
161|550|24628.94|1994-08-31|0|1994|1|0|1|0|1|
162|466|2282.95|1995-05-08|0|1995|0|0|1|1|1|
163|2897|161055.30|1997-09-05|0|1997|0|0|1|0|1|
164|26|277069.10|1992-10-21|0|1992|1|0|1|0|1|
165|899|184388.53|1993-01-30|0|1993|1|0|1|0|1|
166|3559|111138.56|1995-09-12|0|1995|0|0|1|1|1|
167|3941|71542.50|1993-01-04|0|1993|1|0|1|0|1|
192|2725|187505.95|1997-11-25|0|1997|0|0|1|0|1|
193|2609|46854.07|1993-08-08|0|1993|1|1|1|0|1|
194|2038|167291.75|1992-04-05|0|1992|1|0|1|0|1|
195|4469|178891.81|1993-12-28|0|1993|1|0|1|0|1|
196|2140|44150.01|1993-03-17|0|1993|1|0|1|0|1|
197|1073|129857.53|1995-04-07|0|1995|0|0|1|1|1|
198|3638|190668.38|1998-01-02|0|1998|0|0|1|0|1|
199|1748|100343.79|1996-03-07|0|1996|0|0|1|1|1|
224|82|194889.81|1994-06-18|0|1994|1|0|1|0|1|
225|1090|232932.87|1995-05-25|0|1995|0|0|1|1|1|
226|4207|259772.19|1993-03-10|0|1993|1|0|1|0|1|
227|328|65515.25|1995-11-10|0|1995|0|0|1|1|1|
228|1456|3015.52|1993-02-25|0|1993|1|0|1|0|1|
229|3688|185437.53|1993-12-29|0|1993|1|0|1|0|1|
230|3385|125063.10|1993-10-27|0|1993|1|1|1|0|1|
231|2998|213536.73|1994-09-29|0|1994|1|0|1|0|1|
256|4120|158440.84|1993-10-19|0|1993|1|1|1|0|1|
257|4049|11740.14|1998-03-28|0|1998|0|0|1|0|1|
258|1382|243863.44|1993-12-29|0|1993|1|0|1|0|1|
259|1426|111347.92|1993-09-29|0|1993|1|1|1|0|1|
260|3457|190995.50|1996-12-10|0|1996|0|0|1|1|1|
261|1522|310310.02|1993-06-29|0|1993|1|0|1|0|1|
262|1003|173649.88|1995-11-25|0|1995|0|0|1|1|1|
263|3832|131029.98|1994-05-17|0|1994|1|0|1|0|1|
288|235|239174.14|1997-02-21|0|1997|0|0|1|0|1|
289|3424|190591.45|1997-02-10|0|1997|0|0|1|0|1|
290|3893|68582.16|1994-01-01|0|1994|1|0|1|0|1|
291|4655|70960.36|1994-03-13|0|1994|1|0|1|0|1|
292|736|34296.02|1992-01-13|0|1992|1|0|1|0|1|
293|988|50709.08|1992-10-02|0|1992|1|0|1|0|1|
294|1667|58548.44|1993-07-16|0|1993|1|0|1|0|1|
295|628|99722.77|1994-09-29|0|1994|1|0|1|0|1|
320|10|45854.69|1997-11-21|0|1997|0|0|1|0|1|
321|4046|82595.15|1993-03-21|0|1993|1|0|1|0|1|
322|4408|166395.98|1992-03-19|0|1992|1|0|1|0|1|
323|1292|97427.89|1994-03-26|0|1994|1|0|1|0|1|
324|3472|36378.22|1992-03-20|0|1992|1|0|1|0|1|
325|1321|94947.05|1993-10-17|0|1993|1|1|1|0|1|
326|2509|304981.42|1995-06-04|0|1995|0|0|1|1|1|
327|4772|36712.10|1995-04-17|0|1995|0|0|1|1|1|
352|3514|16718.36|1994-03-08|0|1994|1|0|1|0|1|
