5
ps_partkey|ps_suppkey|ps_supplycost|q9_annot1|q9_annot2|
1|2|771.64|1|772|
1|84|993.49|1|993|
1|166|337.09|1|337|
1|248|357.84|1|358|
2|3|378.49|1|378|
2|85|915.27|1|915|
2|167|438.37|1|438|
2|249|306.39|1|306|
3|4|920.92|1|921|
3|86|498.13|1|498|
3|168|645.40|1|645|
3|250|191.92|1|192|
4|5|113.97|1|114|
4|87|591.18|1|591|
4|169|51.37|1|51|
4|251|444.37|1|444|
5|6|255.88|1|256|
5|88|50.52|1|51|
5|170|219.83|1|220|
5|252|537.98|1|538|
6|7|130.72|1|131|
6|89|424.25|1|424|
6|171|642.13|1|642|
6|253|175.32|1|175|
7|8|763.98|1|764|
7|90|149.66|1|150|
7|172|68.77|1|69|
7|254|299.58|1|300|
8|9|249.63|1|250|
8|91|957.34|1|957|
8|173|220.62|1|221|
8|255|916.91|1|917|
9|10|84.20|1|84|
9|92|811.84|1|812|
9|174|381.31|1|381|
9|256|291.84|1|292|
10|11|996.12|1|996|
10|93|673.27|1|673|
10|175|164.00|1|164|
10|257|374.02|1|374|
11|12|709.87|1|710|
11|94|894.90|1|895|
11|176|818.74|1|819|
11|258|471.98|1|472|
12|13|659.73|1|660|
12|95|332.81|1|333|
12|177|337.06|1|337|
12|259|901.70|1|902|
13|14|169.44|1|169|
13|96|862.70|1|863|
13|178|38.64|1|39|
13|260|327.18|1|327|
14|15|650.07|1|650|
14|97|889.50|1|890|
14|179|893.39|1|893|
14|261|310.13|1|310|
15|16|835.70|1|836|
15|98|784.55|1|785|
15|180|265.89|1|266|
15|262|458.67|1|459|
16|17|709.16|1|709|
16|99|887.53|1|888|
16|181|781.91|1|782|
16|263|918.51|1|919|
17|18|995.35|1|995|
17|100|648.75|1|649|
17|182|555.04|1|555|
17|264|64.40|1|64|
18|19|664.17|1|664|
18|101|52.44|1|52|
18|183|568.61|1|569|
18|265|386.29|1|386|
19|20|144.80|1|145|
19|102|405.70|1|406|
19|184|635.66|1|636|
19|266|346.92|1|347|
20|21|675.54|1|676|
20|103|305.84|1|306|
20|185|546.66|1|547|
20|267|115.89|1|116|
21|22|944.44|1|944|
21|104|139.05|1|139|
21|186|664.50|1|665|
21|268|584.86|1|585|
22|23|786.18|1|786|
22|105|635.84|1|636|
22|187|359.16|1|359|
22|269|597.21|1|597|
23|24|460.12|1|460|
23|106|103.13|1|103|
23|188|233.94|1|234|
23|270|51.75|1|52|
24|25|905.41|1|905|
24|107|511.20|1|511|
24|189|582.03|1|582|
24|271|62.15|1|62|
25|26|832.74|1|833|
25|108|928.96|1|929|
25|190|694.35|1|694|
25|272|746.59|1|747|
26|27|683.96|1|684|
26|109|892.20|1|892|
26|191|382.11|1|382|
26|273|821.89|1|822|
27|28|444.01|1|444|
27|110|157.03|1|157|
27|192|151.34|1|151|
27|274|348.61|1|349|
28|29|204.86|1|205|
28|111|744.57|1|745|
28|193|690.30|1|690|
28|275|666.53|1|667|
29|30|799.27|1|799|
29|112|981.33|1|981|
29|194|734.44|1|734|
29|276|186.21|1|186|
30|31|989.05|1|989|
30|113|743.26|1|743|
30|195|568.86|1|569|
30|277|583.84|1|584|
31|32|620.84|1|621|
31|114|120.99|1|121|
31|196|761.64|1|762|
31|278|849.11|1|849|
32|33|406.03|1|406|
32|115|109.34|1|109|
32|197|747.14|1|747|
32|279|856.09|1|856|
33|34|891.46|1|891|
33|116|929.05|1|929|
33|198|310.76|1|311|
33|280|327.19|1|327|
34|35|848.75|1|849|
34|117|265.31|1|265|
34|199|824.69|1|825|
34|281|609.69|1|610|
35|36|451.58|1|452|
35|118|537.72|1|538|
35|200|669.19|1|669|
35|282|411.17|1|411|
36|37|630.91|1|631|
36|119|434.47|1|434|
36|201|569.91|1|570|
36|283|289.15|1|289|
37|38|824.96|1|825|
37|120|126.59|1|127|
37|202|15.72|1|16|
37|284|745.64|1|746|
38|39|570.11|1|570|
38|121|662.75|1|663|
38|203|160.70|1|161|
38|285|847.09|1|847|
39|40|463.10|1|463|
39|122|300.43|1|300|
39|204|532.26|1|532|
39|286|737.86|1|738|
40|41|776.13|1|776|
40|123|565.82|1|566|
40|205|374.71|1|375|
40|287|196.64|1|197|
41|42|488.55|1|489|
41|124|391.81|1|392|
41|206|916.55|1|917|
41|288|37.59|1|38|
42|43|716.81|1|717|
42|125|709.06|1|709|
42|207|200.00|1|200|
42|289|29.46|1|29|
43|44|805.78|1|806|
43|126|493.19|1|493|
43|208|493.65|1|494|
43|290|307.12|1|307|
44|45|164.22|1|164|
44|127|114.37|1|114|
44|209|383.01|1|383|
44|291|833.15|1|833|
45|46|919.63|1|920|
45|128|877.29|1|877|
45|210|532.70|1|533|
45|292|155.32|1|155|
46|47|244.65|1|245|
46|129|106.80|1|107|
46|211|14.78|1|15|
46|293|985.88|1|986|
47|48|292.52|1|293|
47|130|539.47|1|539|
47|212|74.54|1|75|
47|294|296.63|1|297|
48|49|611.16|1|611|
48|131|191.36|1|191|
48|213|668.19|1|668|
48|295|606.16|1|606|
49|50|35.11|1|35|
49|132|908.15|1|908|
49|214|713.25|1|713|
49|296|812.62|1|813|
50|51|565.54|1|566|
50|133|690.87|1|691|
50|215|301.06|1|301|
50|297|107.17|1|107|
51|52|310.74|1|311|
51|134|85.03|1|85|
51|216|728.95|1|729|
51|298|901.04|1|901|
52|53|54.92|1|55|
52|135|210.44|1|210|
52|217|628.53|1|629|
52|299|424.93|1|425|
53|54|192.78|1|193|
53|136|563.44|1|563|
53|218|388.08|1|388|
53|300|224.83|1|225|
54|55|686.51|1|687|
54|137|798.98|1|799|
54|219|23.78|1|24|
54|301|259.24|1|259|
55|56|611.04|1|611|
55|138|236.27|1|236|
55|220|134.62|1|135|
55|302|130.33|1|130|
56|57|855.39|1|855|
56|139|54.79|1|55|
56|221|52.29|1|52|
56|303|926.25|1|926|
57|58|123.11|1|123|
57|140|411.08|1|411|
57|222|211.66|1|212|
57|304|137.68|1|138|
58|59|542.52|1|543|
58|141|448.31|1|448|
58|223|512.24|1|512|
58|305|25.09|1|25|
59|60|357.22|1|357|
59|142|80.98|1|81|
59|224|598.55|1|599|
59|306|45.50|1|46|
60|61|800.72|1|801|
60|143|314.81|1|315|
60|225|504.10|1|504|
60|307|92.64|1|93|
61|62|858.64|1|859|
61|144|771.26|1|771|
61|226|633.74|1|634|
61|308|153.74|1|154|
62|63|692.42|1|692|
62|145|348.82|1|349|
62|227|620.08|1|620|
62|309|255.78|1|256|
63|64|498.84|1|499|
63|146|509.16|1|509|
63|228|274.15|1|274|
63|310|463.69|1|464|
64|65|228.61|1|229|
64|147|398.92|1|399|
64|229|602.65|1|603|
64|311|25.77|1|26|
65|66|846.26|1|846|
65|148|393.63|1|394|
65|230|503.10|1|503|
65|312|288.73|1|289|
66|67|809.13|1|809|
66|149|785.75|1|786|
66|231|447.08|1|447|
66|313|797.27|1|797|
67|68|306.37|1|306|
67|150|546.75|1|547|
67|232|625.62|1|626|
67|314|397.34|1|397|
68|69|31.37|1|31|
68|151|5.16|1|5|
68|233|80.86|1|81|
68|315|683.59|1|684|
69|70|694.24|1|694|
69|152|846.49|1|846|
69|234|386.96|1|387|
69|316|344.28|1|344|
70|71|348.27|1|348|
70|153|452.80|1|453|
70|235|940.81|1|941|
70|317|182.58|1|183|
71|72|842.21|1|842|
71|154|239.57|1|240|
71|236|744.67|1|745|
71|318|329.13|1|329|
72|73|497.26|1|497|
72|155|41.04|1|41|
72|237|762.61|1|763|
72|319|154.47|1|154|
73|74|947.99|1|948|
73|156|920.66|1|921|
73|238|108.96|1|109|
73|320|309.57|1|310|
74|75|345.92|1|346|
74|157|930.97|1|931|
74|239|496.36|1|496|
74|321|849.66|1|850|
75|76|624.39|1|624|
75|158|759.36|1|759|
75|240|433.59|1|434|
75|322|884.01|1|884|
76|77|494.83|1|495|
76|159|108.97|1|109|
76|241|552.38|1|552|
76|323|252.03|1|252|
77|78|254.92|1|255|
77|160|875.83|1|876|
77|242|936.13|1|936|
77|324|402.14|1|402|
78|79|729.94|1|730|
78|161|577.23|1|577|
78|243|434.34|1|434|
78|325|382.82|1|383|
79|80|765.34|1|765|
79|162|28.33|1|28|
79|244|880.23|1|880|
79|326|891.18|1|891|
80|81|127.65|1|128|
80|163|775.79|1|776|
80|245|945.72|1|946|
80|327|797.05|1|797|
81|82|550.29|1|550|
81|164|220.23|1|220|
81|246|409.73|1|410|
81|328|492.19|1|492|
82|83|697.31|1|697|
82|165|585.86|1|586|
82|247|604.25|1|604|
82|329|900.07|1|900|
83|84|745.51|1|746|
83|166|399.64|1|400|
83|248|657.22|1|657|
83|330|24.73|1|25|
84|1|707.77|1|708|
84|85|233.61|1|234|
84|167|469.80|1|470|
84|249|969.44|1|969|
85|2|73.81|1|74|
85|86|608.77|1|609|
85|168|917.83|1|918|
85|250|491.20|1|491|
86|3|332.65|1|333|
86|87|65.98|1|66|
86|169|250.04|1|250|
86|251|816.53|1|817|
87|4|868.60|1|869|
87|88|688.33|1|688|
87|170|435.42|1|435|
87|252|617.20|1|617|
88|5|821.43|1|821|
88|89|334.58|1|335|
88|171|71.50|1|72|
88|253|81.82|1|82|
89|6|920.02|1|920|
89|90|744.87|1|745|
89|172|776.53|1|777|
89|254|417.61|1|418|
90|7|50.84|1|51|
90|91|409.38|1|409|
90|173|498.43|1|498|
90|255|666.13|1|666|
91|8|703.41|1|703|
91|92|528.64|1|529|
91|174|906.20|1|906|
91|256|823.21|1|823|
92|9|854.89|1|855|
92|93|224.01|1|224|
92|175|985.03|1|985|
92|257|91.63|1|92|
93|10|805.90|1|806|
93|94|615.98|1|616|
93|176|376.47|1|376|
93|258|868.81|1|869|
94|11|824.08|1|824|
94|95|365.56|1|366|
94|177|358.08|1|358|
94|259|478.94|1|479|
95|12|973.74|1|974|
95|96|291.03|1|291|
95|178|456.36|1|456|
95|260|987.22|1|987|
96|13|587.08|1|587|
96|97|202.06|1|202|
96|179|571.30|1|571|
96|261|672.29|1|672|
97|14|761.41|1|761|
97|98|129.77|1|130|
97|180|458.34|1|458|
97|262|239.34|1|239|
98|15|811.55|1|812|
98|99|908.21|1|908|
98|181|657.16|1|657|
98|263|139.00|1|139|
99|16|843.88|1|844|
99|100|438.38|1|438|
99|182|496.93|1|497|
99|264|365.83|1|366|
100|17|22.00|1|22|
100|101|490.61|1|491|
100|183|196.73|1|197|
100|265|929.57|1|930|
101|18|612.09|1|612|
101|102|305.40|1|305|
101|184|218.71|1|219|
101|266|786.53|1|787|
102|19|231.02|1|231|
102|103|876.75|1|877|
102|185|332.71|1|333|
102|267|618.00|1|618|
103|20|605.20|1|605|
103|104|905.88|1|906|
103|186|414.42|1|414|
103|268|361.48|1|361|
104|21|729.38|1|729|
104|105|946.39|1|946|
104|187|15.57|1|16|
104|269|213.89|1|214|
105|22|904.17|1|904|
105|106|27.75|1|28|
105|188|158.62|1|159|
105|270|810.86|1|811|
106|23|281.98|1|282|
106|107|732.15|1|732|
106|189|779.68|1|780|
106|271|310.40|1|310|
107|24|474.77|1|475|
107|108|168.03|1|168|
107|190|91.31|1|91|
107|272|372.94|1|373|
108|25|922.27|1|922|
108|109|558.85|1|559|
108|191|241.47|1|241|
108|273|626.89|1|627|
109|26|374.49|1|374|
109|110|275.19|1|275|
109|192|992.21|1|992|
109|274|936.60|1|937|
110|27|196.63|1|197|
110|111|566.46|1|566|
110|193|183.47|1|183|
110|275|932.08|1|932|
111|28|496.08|1|496|
111|112|321.97|1|322|
111|194|978.65|1|979|
111|276|745.33|1|745|
112|29|815.88|1|816|
112|113|111.42|1|111|
112|195|783.52|1|784|
112|277|913.75|1|914|
113|30|141.48|1|141|
113|114|396.26|1|396|
113|196|860.68|1|861|
113|278|981.41|1|981|
114|31|570.79|1|571|
114|115|447.24|1|447|
114|197|555.12|1|555|
114|279|382.87|1|383|
115|32|81.52|1|82|
115|116|82.84|1|83|
115|198|867.45|1|867|
115|280|861.93|1|862|
116|33|37.30|1|37|
116|117|705.50|1|706|
116|199|413.86|1|414|
116|281|866.56|1|867|
117|34|552.88|1|553|
117|118|706.51|1|707|
117|200|322.08|1|322|
117|282|761.86|1|762|
118|35|976.55|1|977|
118|119|744.73|1|745|
118|201|325.61|1|326|
118|283|283.27|1|283|
119|36|782.47|1|782|
119|120|473.64|1|474|
119|202|676.92|1|677|
119|284|488.93|1|489|
120|37|566.34|1|566|
120|121|201.21|1|201|
120|203|365.79|1|366|
120|285|249.61|1|250|
121|38|655.22|1|655|
121|122|147.45|1|147|
121|204|850.42|1|850|
121|286|449.39|1|449|
122|39|739.25|1|739|
122|123|451.29|1|451|
122|205|637.28|1|637|
122|287|650.84|1|651|
123|40|149.65|1|150|
123|124|107.03|1|107|
123|206|818.19|1|818|
123|288|217.01|1|217|
124|41|822.78|1|823|
124|125|901.98|1|902|
124|207|908.64|1|909|
124|289|882.54|1|883|
125|42|806.66|1|807|
125|126|358.45|1|358|
125|208|668.65|1|669|
125|290|455.70|1|456|
126|43|929.43|1|929|
126|127|221.89|1|222|
126|209|194.38|1|194|
126|291|451.61|1|452|
127|44|73.42|1|73|
127|128|712.33|1|712|
127|210|237.98|1|238|
127|292|3.14|1|3|
128|45|875.78|1|876|
128|129|425.29|1|425|
128|211|224.49|1|224|
128|293|947.16|1|947|
129|46|27.22|1|27|
129|130|129.69|1|130|
129|212|200.26|1|200|
129|294|330.59|1|331|
130|47|883.99|1|884|
130|131|223.38|1|223|
130|213|275.58|1|276|
130|295|442.81|1|443|
131|48|613.09|1|613|
131|132|211.70|1|212|
131|214|861.84|1|862|
131|296|572.43|1|572|
132|49|353.06|1|353|
132|133|687.29|1|687|
132|215|925.73|1|926|
132|297|357.06|1|357|
133|50|277.26|1|277|
133|134|49.17|1|49|
133|216|478.18|1|478|
133|298|57.48|1|57|
134|51|388.28|1|388|
134|135|848.14|1|848|
134|217|102.99|1|103|
134|299|927.45|1|927|
135|52|306.43|1|306|
135|136|465.82|1|466|
135|218|9.83|1|10|
135|300|698.42|1|698|
136|53|525.81|1|526|
136|137|548.19|1|548|
136|219|806.19|1|806|
136|301|387.57|1|388|
137|54|187.31|1|187|
137|138|302.26|1|302|
137|220|441.11|1|441|
137|302|371.85|1|372|
138|55|309.03|1|309|
138|139|576.96|1|577|
138|221|885.35|1|885|
138|303|119.83|1|120|
139|56|690.00|1|690|
139|140|285.75|1|286|
139|222|684.61|1|685|
139|304|972.23|1|972|
140|57|429.52|1|430|
140|141|501.05|1|501|
140|223|781.45|1|781|
140|305|45.84|1|46|
141|58|810.68|1|811|
141|142|293.63|1|294|
141|224|139.18|1|139|
141|306|838.08|1|838|
142|59|854.08|1|854|
142|143|897.49|1|897|
142|225|334.33|1|334|
142|307|860.55|1|861|
143|60|199.37|1|199|
143|144|960.64|1|961|
143|226|741.01|1|741|
143|308|772.24|1|772|
144|61|361.83|1|362|
144|145|457.37|1|457|
144|227|849.96|1|850|
144|309|713.88|1|714|
145|62|894.57|1|895|
145|146|641.67|1|642|
145|228|568.91|1|569|
145|310|422.60|1|423|
146|63|882.37|1|882|
146|147|231.15|1|231|
146|229|123.91|1|124|
146|311|858.59|1|859|
147|64|235.91|1|236|
147|148|939.14|1|939|
147|230|102.19|1|102|
147|312|466.37|1|466|
148|65|250.98|1|251|
148|149|177.40|1|177|
148|231|774.56|1|775|
148|313|264.09|1|264|
149|66|312.37|1|312|
149|150|679.10|1|679|
149|232|201.03|1|201|
149|314|266.53|1|267|
150|67|327.34|1|327|
150|151|524.71|1|525|
150|233|814.79|1|815|
150|315|33.71|1|34|
151|68|244.06|1|244|
151|152|281.90|1|282|
151|234|840.06|1|840|
151|316|71.68|1|72|
152|69|142.73|1|143|
152|153|164.60|1|165|
152|235|432.12|1|432|
152|317|77.38|1|77|
153|70|285.92|1|286|
153|154|539.86|1|540|
153|236|680.14|1|680|
153|318|685.52|1|686|
154|71|160.31|1|160|
154|155|474.19|1|474|
154|237|829.29|1|829|
154|319|960.19|1|960|
155|72|751.45|1|751|
155|156|222.02|1|222|
155|238|413.24|1|413|
155|320|413.02|1|413|
156|73|9.87|1|10|
156|157|453.69|1|454|
156|239|994.19|1|994|
156|321|252.66|1|253|
157|74|288.41|1|288|
157|158|369.44|1|369|
157|240|568.46|1|568|
157|322|901.53|1|902|
158|75|431.90|1|432|
158|159|408.72|1|409|
158|241|452.31|1|452|
158|323|837.16|1|837|
159|76|790.87|1|791|
159|160|356.66|1|357|
159|242|629.29|1|629|
159|324|171.40|1|171|
160|77|872.20|1|872|
160|161|525.73|1|526|
160|243|999.93|1|1000|
160|325|733.59|1|734|
161|78|893.72|1|894|
161|162|790.03|1|790|
161|244|394.05|1|394|
161|326|688.47|1|688|
162|79|824.36|1|824|
162|163|923.04|1|923|
162|245|104.20|1|104|
162|327|236.07|1|236|
