15
o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|o_year|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot|
1|112|O|144145.81|1996-01-02|5-LOW|Clerk#000000951|0|nstructions sleep furiously among |1996|0|0|1|1|1|
2|235|O|48650.46|1996-12-01|1-URGENT|Clerk#000000880|0| foxes. pending accounts at the pending, silent asymptot|1996|0|0|1|1|1|
3|370|F|182819.48|1993-10-14|5-LOW|Clerk#000000955|0|sly final accounts boost. carefully regular ideas cajole carefully. depos|1993|1|1|1|0|1|
4|412|O|36621.78|1995-10-11|5-LOW|Clerk#000000124|0|sits. slyly regular warthogs cajole. regular, regular theodolites acro|1995|0|0|1|1|1|
5|134|F|99976.29|1994-07-30|5-LOW|Clerk#000000925|0|quickly. bold deposits sleep slyly. packages use slyly|1994|1|0|1|0|1|
6|167|F|46260.09|1992-02-21|4-NOT SPECIFIED|Clerk#000000058|0|ggle. special, final requests are against the furiously specia|1992|1|0|1|0|1|
7|118|O|213558.40|1996-01-10|2-HIGH|Clerk#000000470|0|ly special requests |1996|0|0|1|1|1|
32|391|O|142078.69|1995-07-16|2-HIGH|Clerk#000000616|0|ise blithely bold, regular requests. quickly unusual dep|1995|0|0|1|1|1|
33|202|F|111285.64|1993-10-27|3-MEDIUM|Clerk#000000409|0|uriously. furiously final request|1993|1|1|1|0|1|
34|184|O|50093.56|1998-07-21|3-MEDIUM|Clerk#000000223|0|ly final packages. fluffily final deposits wake blithely ideas. spe|1998|0|0|1|0|1|
35|383|O|175549.02|1995-10-23|4-NOT SPECIFIED|Clerk#000000259|0|zzle. carefully enticing deposits nag furio|1995|0|0|1|1|1|
36|346|O|48170.95|1995-11-03|1-URGENT|Clerk#000000358|0| quick packages are blithely. slyly silent accounts wake qu|1995|0|0|1|1|1|
37|259|F|126147.23|1992-06-03|3-MEDIUM|Clerk#000000456|0|kly regular pinto beans. carefully unusual waters cajole never|1992|1|0|1|0|1|
38|376|O|61547.49|1996-08-21|4-NOT SPECIFIED|Clerk#000000604|0|haggle blithely. furiously express ideas haggle blithely furiously regular re|1996|0|0|1|1|1|
39|247|O|248966.64|1996-09-20|3-MEDIUM|Clerk#000000659|0|ole express, ironic requests: ir|1996|0|0|1|1|1|
64|97|F|23569.22|1994-07-16|3-MEDIUM|Clerk#000000661|0|wake fluffily. sometimes ironic pinto beans about the dolphin|1994|1|0|1|0|1|
65|49|P|72487.83|1995-03-18|1-URGENT|Clerk#000000632|0|ular requests are blithely pending orbits-- even requests against the deposit|1995|0|0|1|1|1|
66|388|F|101595.05|1994-01-20|5-LOW|Clerk#000000743|0|y pending requests integrate|1994|1|0|1|0|1|
67|170|O|138698.16|1996-12-19|4-NOT SPECIFIED|Clerk#000000547|0|symptotes haggle slyly around the furiously iron|1996|0|0|1|1|1|
68|86|O|260606.61|1998-04-18|3-MEDIUM|Clerk#000000440|0| pinto beans sleep carefully. blithely ironic deposits haggle furiously acro|1998|0|0|1|0|1|
69|254|F|193127.53|1994-06-04|4-NOT SPECIFIED|Clerk#000000330|0| depths atop the slyly thin deposits detect among the furiously silent accou|1994|1|0|1|0|1|
70|194|F|96866.37|1993-12-18|5-LOW|Clerk#000000322|0| carefully ironic request|1993|1|0|1|0|1|
71|11|O|212739.63|1998-01-24|4-NOT SPECIFIED|Clerk#000000271|0| express deposits along the blithely regul|1998|0|0|1|0|1|
96|325|F|69034.00|1994-04-17|2-HIGH|Clerk#000000395|0|oost furiously. pinto|1994|1|0|1|0|1|
97|64|F|78901.21|1993-01-29|3-MEDIUM|Clerk#000000547|0|hang blithely along the regular accounts. furiously even ideas after the|1993|1|0|1|0|1|
98|314|F|58042.44|1994-09-25|1-URGENT|Clerk#000000448|0|c asymptotes. quickly regular packages should have to nag re|1994|1|0|1|0|1|
99|268|F|113873.68|1994-03-13|4-NOT SPECIFIED|Clerk#000000973|0|e carefully ironic packages. pending|1994|1|0|1|0|1|
100|442|O|159350.45|1998-02-28|4-NOT SPECIFIED|Clerk#000000577|0|heodolites detect slyly alongside of the ent|1998|0|0|1|0|1|
101|85|O|121065.22|1996-03-17|3-MEDIUM|Clerk#000000419|0|ding accounts above the slyly final asymptote|1996|0|0|1|1|1|
102|4|O|143133.69|1997-05-09|2-HIGH|Clerk#000000596|0| slyly according to the asymptotes. carefully final packages integrate furious|1997|0|0|1|0|1|
103|88|O|102078.02|1996-06-20|4-NOT SPECIFIED|Clerk#000000090|0|ges. carefully unusual instructions haggle quickly regular f|1996|0|0|1|1|1|
